FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,PCH_RECFACPTH_09_14
13001,GA,Appling,10.8,12.9,30.6,34.8,,3,1,-66.66666667,0.165343915,0.0539374,-67.37864078
13003,GA,Atkinson,10.5,11.5,29.4,35.3,,0,0,0,0,0,0
13005,GA,Bacon,10.5,10.4,29,32.7,,1,0,-100,0.089814981,0,-100
13007,GA,Baker,13,14.8,32.7,30,,0,0,0,0,0,0
13009,GA,Baldwin,11.4,14,32,36.8,,4,3,-25,0.084949137,0.065346664,-23.07554074
13011,GA,Banks,10.1,11.1,27.9,27,,3,1,-66.66666667,0.164762742,0.0546597,-66.82517992
13013,GA,Barrow,9.6,11.3,28.9,34.6,,3,4,33.33333333,0.043765,0.054615,24.79155289
13015,GA,Bartow,9.7,12.1,28.7,35.2,,6,7,16.66666667,0.060116,0.068805536,14.45456869
13017,GA,Ben Hill,12.4,12.4,31.7,35.3,,1,2,100,0.0568796,0.114521301,101.3398992
13019,GA,Berrien,12.5,14.2,30.9,34.7,,1,1,0,0.0524466,0.0534759,1.962566845
13021,GA,Bibb,13.2,12.7,30.6,31.3,,10,15,50,0.064452093,0.097462721,51.21730938
13023,GA,Bleckley,12.3,13.6,29.7,30.4,,0,0,0,0,0,0
13025,GA,Brantley,10.4,10.9,28.2,33.1,,1,1,0,0.0551602,0.0542977,-1.563772601
13027,GA,Brooks,13.3,14.5,31.5,33.5,,0,0,0,0,0,0
13029,GA,Bryan,9.6,12.3,28.7,29.3,,6,2,-66.66666667,0.200086704,0.0589866,-70.51947541
13031,GA,Bulloch,9.6,12,30.4,33.5,,3,4,33.33333333,0.0437331,0.0554885,26.88001998
13033,GA,Burke,12.7,14.7,33.9,32,,0,0,0,0,0,0
13035,GA,Butts,11.5,11.7,29.9,28.7,,3,1,-66.66666667,0.12667849,0.0427936,-66.2187607
13037,GA,Calhoun,13.2,14.4,33.4,34.4,,0,0,0,0,0,0
13039,GA,Camden,10.7,10.9,27.6,31.5,,3,4,33.33333333,0.0599712,0.076883157,28.20010123
13043,GA,Candler,11.8,13.7,30.1,30.3,,0,0,0,0,0,0
13045,GA,Carroll,11.9,11.3,31.3,31.7,,12,9,-25,0.108663171,0.078883016,-27.405932
13047,GA,Catoosa,11.1,12.2,29.9,27.8,,6,3,-50,0.093934934,0.0457171,-51.33112876
13049,GA,Charlton,11.1,11.6,29.6,32,,0,1,,0,0.077537412,
13051,GA,Chatham,11.8,11,28.8,31.3,,23,25,8.695652174,0.087745401,0.088221075,0.542106999
13053,GA,Chattahoochee,6.8,6.4,30.8,27.3,,1,0,-100,0.08364701,0,-100
13055,GA,Chattooga,11.1,11,27.4,34,,1,0,-100,0.038619,0,-100
13057,GA,Cherokee,7.2,8.7,24.5,26.9,,28,26,-7.142857143,0.131931094,0.112561422,-14.68165836
13059,GA,Clarke,8.2,8.3,26.9,25.3,,14,18,28.57142857,0.119818902,0.148836594,24.2179582
13061,GA,Clay,15.9,17.2,33.4,29.8,,0,0,0,0,0,0
13063,GA,Clayton,11.9,11.6,33.7,38,,6,3,-50,0.023071,0.0112132,-51.39697692
13065,GA,Clinch,11.6,12.9,29.9,29.6,,0,0,0,0,0,0
13067,GA,Cobb,8.9,8.5,24.2,22.9,,75,83,10.66666667,0.109524867,0.113546043,3.671473449
13069,GA,Coffee,11.9,11.5,29.8,34.8,,2,7,250,0.0475184,0.163509378,244.0973114
13071,GA,Colquitt,11.2,12.8,31.6,35.2,,4,1,-75,0.088589653,0.021691,-75.51516203
13073,GA,Columbia,9.7,10.4,27.1,30.3,,11,14,27.27272727,0.090871541,0.100533546,10.63259755
13075,GA,Cook,12.3,12.2,31.4,31.4,,0,1,,0,0.0580923,
13077,GA,Coweta,10.3,10.6,28.4,26.8,,11,7,-36.36363636,0.087648704,0.0516335,-41.09044506
13079,GA,Crawford,11.6,13.1,30,27.3,,0,0,0,0,0,0
13081,GA,Crisp,12,14.2,31.6,31.1,,3,1,-66.66666667,0.128325776,0.0436034,-66.02133659
13083,GA,Dade,11.1,12.2,26.4,32.3,,1,1,0,0.0600348,0.0610165,1.635243151
13085,GA,Dawson,9.9,10.5,26.8,27.7,,3,3,0,0.134378499,0.130679096,-2.752972949
13087,GA,Decatur,12.2,12.1,31.6,30,,4,3,-25,0.142561836,0.110213079,-22.691036
13089,GA,DeKalb,10.1,10,26.7,27.3,,55,74,34.54545455,0.079634204,0.102470225,28.67614638
13091,GA,Dodge,12.9,13.5,32,28.5,,1,1,0,0.0461702,0.0476735,3.256102212
13093,GA,Dooly,13.4,14.8,33.3,34.7,,0,0,0,0,0,0
13095,GA,Dougherty,14.2,12.4,32.6,34.4,,7,6,-14.28571429,0.073927002,0.064930146,-12.1699191
13097,GA,Douglas,10.3,12,29.4,32.3,,7,7,0,0.0533163,0.050441,-5.392863319
13099,GA,Early,13.9,15.6,30.6,31.5,,1,1,0,0.090081975,0.095319798,5.814507673
13101,GA,Echols,9,10.9,28.7,28.3,,0,0,0,0,0,0
13103,GA,Effingham,9.7,13.5,31.4,35.2,,0,0,0,0,0,0
13105,GA,Elbert,12.7,13,31.7,31.1,,0,1,,0,0.0514456,
13107,GA,Emanuel,12.5,11.6,31.8,36.3,,0,1,,0,0.0439464,
13109,GA,Evans,12,13.4,30.2,33.5,,0,0,0,0,0,0
13111,GA,Fannin,10.8,12.2,26.3,25.9,,0,1,,0,0.0420999,
13113,GA,Fayette,12.6,12.9,25.4,31.1,,7,15,114.2857143,0.066355114,0.136781441,106.1354944
13115,GA,Floyd,10.5,13.6,30.6,31,,9,6,-33.33333333,0.093377463,0.062459,-33.11125685
13117,GA,Forsyth,8.2,10.8,24.4,29.4,,27,26,-3.703703704,0.156983133,0.127262582,-18.93232132
13119,GA,Franklin,10.6,12.4,27.1,29.5,,2,1,-50,0.090285302,0.0449156,-50.25152713
13121,GA,Fulton,8.7,8.7,23.5,23.9,,117,153,30.76923077,0.129208811,0.153565274,18.85046549
13123,GA,Gilmer,10.2,12.4,26.9,29.7,,1,2,100,0.0354937,0.069374588,95.45596448
13125,GA,Glascock,11.5,11.8,27.1,28.6,,0,0,0,0,0,0
