FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13001,GA,Appling,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13003,GA,Atkinson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13005,GA,Bacon,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13007,GA,Baker,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13009,GA,Baldwin,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13011,GA,Banks,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13013,GA,Barrow,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13015,GA,Bartow,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13017,GA,Ben Hill,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13019,GA,Berrien,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13021,GA,Bibb,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13023,GA,Bleckley,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13025,GA,Brantley,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13027,GA,Brooks,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13029,GA,Bryan,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13031,GA,Bulloch,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13033,GA,Burke,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13035,GA,Butts,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13037,GA,Calhoun,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13039,GA,Camden,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13043,GA,Candler,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13045,GA,Carroll,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13047,GA,Catoosa,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13049,GA,Charlton,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13051,GA,Chatham,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13053,GA,Chattahoochee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13055,GA,Chattooga,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13057,GA,Cherokee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13059,GA,Clarke,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13061,GA,Clay,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13063,GA,Clayton,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13065,GA,Clinch,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13067,GA,Cobb,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13069,GA,Coffee,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13071,GA,Colquitt,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13073,GA,Columbia,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13075,GA,Cook,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13077,GA,Coweta,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13079,GA,Crawford,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13081,GA,Crisp,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13083,GA,Dade,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13085,GA,Dawson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13087,GA,Decatur,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13089,GA,DeKalb,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13091,GA,Dodge,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13093,GA,Dooly,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
