FIPS,State,County,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,FMRKT16,PCH_FMRKT_09_16,FMRKTPTH09,FMRKTPTH16,PCH_FMRKTPTH_09_16,FMRKT_SNAP16,PCT_FMRKT_SNAP16,FMRKT_WIC16,PCT_FMRKT_WIC16,FMRKT_WICCASH16,PCT_FMRKT_WICCASH16,FMRKT_SFMNP16,PCT_FMRKT_SFMNP16,FMRKT_CREDIT16,PCT_FMRKT_CREDIT16,FMRKT_FRVEG16,PCT_FMRKT_FRVEG16,FMRKT_ANMLPROD16,PCT_FMRKT_ANMLPROD16,FMRKT_BAKED16,PCT_FMRKT_BAKED16,FMRKT_OTHERFOOD16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS07,VEG_FARMS12,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,PCH_VEG_ACRES_07_12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,PCH_FRESHVEG_FARMS_07_12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,PCH_FRESHVEG_ACRES_07_12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,PCH_ORCHARD_FARMS_07_12,ORCHARD_ACRES07,ORCHARD_ACRES12,PCH_ORCHARD_ACRES_07_12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_FARMS12,PCH_BERRY_FARMS_07_12,BERRY_ACRES07,BERRY_ACRES12,PCH_BERRY_ACRES_07_12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE07,SLHOUSE12,PCH_SLHOUSE_07_12,GHVEG_FARMS07,GHVEG_FARMS12,PCH_GHVEG_FARMS_07_12,GHVEG_SQFT07,GHVEG_SQFT12,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,PCH_GHVEG_SQFTPTH_07_12,FOODHUB16,CSA07,CSA12,PCH_CSA_07_12,AGRITRSM_OPS07,AGRITRSM_OPS12,PCH_AGRITRSM_OPS_07_12,AGRITRSM_RCT07,AGRITRSM_RCT12,PCH_AGRITRSM_RCT_07_12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13
13001,GA,Appling,22,9,-59.09090909,4.453441296,1.894736842,0.09847759,,74,,,4.114539894,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,13,13,0,343,106,223.5849057,19.07144843,18.675814,-2.074485462,13,12,-7.692307692,343,99,-71.13702624,19.07144843,5.390395296,-71.73578443,85,120,41.17647059,1456,1782,22.39010989,80.95635252,97.02711532,19.85114485,31,25,-19.35483871,680,1209,77.79411765,37.80928552,65.82816073,74.10580452,0,0,0,0,0,,0,0,,0,0,,0,1,5,400,1,0,-100,,0,,0,1
13003,GA,Atkinson,9,23,155.5555556,4.615384615,11.8556701,0.021649708,0.028570204,13,20,53.84615385,1.557632399,2.427184466,55.82524272,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,13,11,-15.38461538,246,37,564.8648649,29.4751977,29.85436893,1.286407767,13,11,-15.38461538,,37,,,4.490291262,,24,19,-20.83333333,154,129,-16.23376623,18.45195303,15.65533981,-15.1561909,9,12,33.33333333,218,471,116.0550459,26.12029715,57.16019417,118.8343948,0,0,0,0,0,,0,0,,0,0,,0,0,6,,1,3,200,,3000,,0,0
13005,GA,Bacon,6,10,66.66666667,1.840490798,3.731343284,0.034358358,0.007673655,20,5,-75,1.823486506,0.447267197,-75.47186689,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6,6,0,339,34,897.0588235,30.90809628,30.32471599,-1.887467573,4,6,50,,,,,,,38,30,-21.05263158,539,465,-13.72912801,49.14296134,41.59584936,-15.35746275,85,87,2.352941176,3030,3898,28.64686469,276.2582057,348.6895071,26.21869683,1,1,0,0,0,,0,0,,0,0,,0,4,1,-75,2,4,100,,10000,,0,
13007,GA,Baker,0,2,,0,1.333333333,0,,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3,4,33.33333333,3,17,-82.35294118,0.809498111,0.891000891,10.06831007,3,4,33.33333333,3,,,0.809498111,,,6,12,100,176,377,114.2045455,47.49055586,111.969112,135.7713233,0,0,,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0,,0,1,0,-100,2,4,100,,408000,,0,0
13009,GA,Baldwin,14,7,-50,8.235294118,5.64516129,0.838222967,4.951298701,50,61,22,1.05627852,1.313013905,24.30565242,0,4,,0,0.088605352,,1,25,0,0,0,0,0,0,4,100,2,50,2,50,2,50,2,50,8,4,-50,26,4,550,0.54926483,0.559645271,1.889879031,8,2,-75,26,,,0.54926483,,,20,4,-80,233,67,-71.24463519,4.922257901,1.442162814,-70.70119358,5,2,-60,12,,,0.253506845,,,0,0,0,0,0,,0,0,,0,0,,0,0,4,,6,2,-66.66666667,22000,,,0,1
13011,GA,Banks,12,17,41.66666667,2.264150943,3.275529865,0.022187093,0.01838266,32,33,3.125,1.823361823,1.809706608,-0.748903208,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5,9,80,10,13,-23.07692308,0.56980057,0.548395942,-3.756512202,5,8,60,10,,,0.56980057,,,2,2,0,,,,,,,1,3,200,,2,,,0.109679188,,0,0,0,0,0,,0,0,,0,0,,0,6,6,0,1,3,200,,24000,,0,1
13013,GA,Barrow,17,18,5.882352941,3.64806867,5.921052632,0.031257514,0.092692337,13,37,184.6153846,0.200741198,0.527088052,162.5709405,0,2,,0,0.025931592,,0,0,0,0,0,0,0,0,1,50,1,50,1,50,1,50,1,50,8,5,-37.5,15,6,150,0.23162446,0.213684345,-7.745345243,8,5,-37.5,15,,,0.23162446,,,20,7,-65,88,61,-30.68181818,1.358863496,0.868983005,-36.05075068,3,4,33.33333333,2,3,50,0.030883261,0.042736869,38.38198214,1,1,0,6,0,-100,108000,0,-100,1667.696109,0,-100,0,0,0,,5,4,-20,12000,31000,158.3333333,0,0
13015,GA,Bartow,34,24,-29.41176471,6.786427146,5.240174672,0.057473711,0.027265101,54,26,-51.85185185,0.564180789,0.258642129,-54.15616163,0,1,,0,0.009633262,,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,7,21,200,30,22,36.36363636,0.313433771,0.298433226,-4.785874161,7,21,200,30,22,-26.66666667,0.313433771,0.218851032,-30.17630772,9,4,-55.55555556,7,13,85.71428571,0.073134547,0.129321064,76.8262337,11,6,-45.45454545,12,4,-66.66666667,0.125373509,0.039791097,-68.26195805,2,2,0,1,1,0,,,,,,,0,6,4,-33.33333333,2,11,450,,108000,,0,0
13017,GA,Ben Hill,8,8,0,3.524229075,3.827751196,0.06468949,0.05562354,13,15,15.38461538,0.733675715,0.855578371,16.61533196,0,1,,0,0.057994549,,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,4,5,25,,173,,,,,4,5,25,,173,,,9.867670545,,34,48,41.17647059,488,959,96.51639344,27.54105762,54.69997718,98.61247863,2,2,0,,,,,,,2,1,-50,0,0,,0,0,,0,0,,0,0,0,,4,4,0,,7000,,0,
13019,GA,Berrien,14,11,-21.42857143,3.357314149,2.894736842,0.256989459,,157,,,8.600383457,,,0,1,,0,0.052650977,,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,1,100,21,13,-38.0952381,2383,1815,31.29476584,130.5395782,124.9344658,-4.293803083,20,13,-35,,1815,,,95.15570934,,84,63,-25,4119,3363,-18.35396941,225.6368118,176.3133061,-21.85968919,8,10,25,98,271,176.5306122,5.368392221,14.20782217,164.6569323,0,0,0,0,0,,0,0,,0,0,,0,2,0,-100,3,7,133.3333333,7000,,,0,0
