FIPS,State,County,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
13001,GA,Appling,1.082025,0.9486629,1.055159,0,4,0,4,0
13003,GA,Atkinson,1.082025,0.9486629,1.055159,0,4,0,4,0
13005,GA,Bacon,1.114266,0.9753885,1.056827,0,4,0,4,0
13007,GA,Baker,1.082025,0.9486629,1.055159,0,4,0,4,0
13009,GA,Baldwin,0.8567245,0.9908802,0.799857,0,4,0,4,0
13011,GA,Banks,0.8567245,0.9908802,0.799857,0,4,0,4,0
13013,GA,Barrow,0.8567245,0.9908802,0.799857,0,4,0,4,0
13015,GA,Bartow,0.8567245,0.9908802,0.799857,0,4,0,4,0
13017,GA,Ben Hill,1.082025,0.9486629,1.055159,0,4,0,4,0
13019,GA,Berrien,1.082025,0.9486629,1.055159,0,4,0,4,0
13021,GA,Bibb,1.082025,0.9486629,1.055159,0,4,0,4,0
13023,GA,Bleckley,1.082025,0.9486629,1.055159,0,4,0,4,0
13025,GA,Brantley,1.114266,0.9753885,1.056827,0,4,0,4,0
13027,GA,Brooks,1.082025,0.9486629,1.055159,0,4,0,4,0
13029,GA,Bryan,1.082025,0.9486629,1.055159,0,4,0,4,0
13031,GA,Bulloch,1.082025,0.9486629,1.055159,0,4,0,4,0
13033,GA,Burke,1.082025,0.9486629,1.055159,0,4,0,4,0
13035,GA,Butts,0.8567245,0.9908802,0.799857,0,4,0,4,0
13037,GA,Calhoun,1.082025,0.9486629,1.055159,0,4,0,4,0
13039,GA,Camden,1.114266,0.9753885,1.056827,0,4,0,4,0
13043,GA,Candler,1.082025,0.9486629,1.055159,0,4,0,4,0
13045,GA,Carroll,0.8567245,0.9908802,0.799857,0,4,0,4,0
13047,GA,Catoosa,1.082025,0.9486629,1.055159,0,4,0,4,0
13049,GA,Charlton,1.114266,0.9753885,1.056827,0,4,0,4,0
13051,GA,Chatham,1.082025,0.9486629,1.055159,0,4,0,4,0
13053,GA,Chattahoochee,1.082025,0.9486629,1.055159,0,4,0,4,0
13055,GA,Chattooga,0.8567245,0.9908802,0.799857,0,4,0,4,0
13057,GA,Cherokee,0.8567245,0.9908802,0.799857,0,4,0,4,0
13059,GA,Clarke,0.8567245,0.9908802,0.799857,0,4,0,4,0
13061,GA,Clay,1.082025,0.9486629,1.055159,0,4,0,4,0
13063,GA,Clayton,0.8567245,0.9908802,0.799857,0,4,0,4,0
13065,GA,Clinch,1.114266,0.9753885,1.056827,0,4,0,4,0
13067,GA,Cobb,0.8567245,0.9908802,0.799857,0,4,0,4,0
13069,GA,Coffee,1.082025,0.9486629,1.055159,0,4,0,4,0
13071,GA,Colquitt,1.082025,0.9486629,1.055159,0,4,0,4,0
13073,GA,Columbia,1.082025,0.9486629,1.055159,0,4,0,4,0
13075,GA,Cook,1.082025,0.9486629,1.055159,0,4,0,4,0
13077,GA,Coweta,0.8567245,0.9908802,0.799857,0,4,0,4,0
13079,GA,Crawford,1.082025,0.9486629,1.055159,0,4,0,4,0
13081,GA,Crisp,1.082025,0.9486629,1.055159,0,4,0,4,0
13083,GA,Dade,1.082025,0.9486629,1.055159,0,4,0,4,0
13085,GA,Dawson,0.8567245,0.9908802,0.799857,0,4,0,4,0
13087,GA,Decatur,1.082025,0.9486629,1.055159,0,4,0,4,0
13089,GA,DeKalb,0.8567245,0.9908802,0.799857,0,4,0,4,0
13091,GA,Dodge,1.082025,0.9486629,1.055159,0,4,0,4,0
13093,GA,Dooly,1.082025,0.9486629,1.055159,0,4,0,4,0
13095,GA,Dougherty,1.082025,0.9486629,1.055159,0,4,0,4,0
13097,GA,Douglas,0.8567245,0.9908802,0.799857,0,4,0,4,0
13099,GA,Early,1.082025,0.9486629,1.055159,0,4,0,4,0
13101,GA,Echols,1.082025,0.9486629,1.055159,0,4,0,4,0
13103,GA,Effingham,1.082025,0.9486629,1.055159,0,4,0,4,0
13105,GA,Elbert,1.082025,0.9486629,1.055159,0,4,0,4,0
13107,GA,Emanuel,1.082025,0.9486629,1.055159,0,4,0,4,0
13109,GA,Evans,1.082025,0.9486629,1.055159,0,4,0,4,0
13111,GA,Fannin,0.8567245,0.9908802,0.799857,0,4,0,4,0
13113,GA,Fayette,0.8567245,0.9908802,0.799857,0,4,0,4,0
13115,GA,Floyd,0.8567245,0.9908802,0.799857,0,4,0,4,0
13117,GA,Forsyth,0.8567245,0.9908802,0.799857,0,4,0,4,0
13119,GA,Franklin,1.082025,0.9486629,1.055159,0,4,0,4,0
13121,GA,Fulton,0.8567245,0.9908802,0.799857,0,4,0,4,0
13123,GA,Gilmer,0.8567245,0.9908802,0.799857,0,4,0,4,0
13125,GA,Glascock,1.082025,0.9486629,1.055159,0,4,0,4,0
13127,GA,Glynn,1.114266,0.9753885,1.056827,0,4,0,4,0
13129,GA,Gordon,0.8567245,0.9908802,0.799857,0,4,0,4,0
13131,GA,Grady,1.082025,0.9486629,1.055159,0,4,0,4,0
13133,GA,Greene,0.8567245,0.9908802,0.799857,0,4,0,4,0
13135,GA,Gwinnett,0.8567245,0.9908802,0.799857,0,4,0,4,0
13137,GA,Habersham,1.082025,0.9486629,1.055159,0,4,0,4,0
13139,GA,Hall,0.8567245,0.9908802,0.799857,0,4,0,4,0
13141,GA,Hancock,0.8567245,0.9908802,0.799857,0,4,0,4,0
13143,GA,Haralson,0.8567245,0.9908802,0.799857,0,4,0,4,0
13145,GA,Harris,0.8567245,0.9908802,0.799857,0,4,0,4,0
13147,GA,Hart,1.082025,0.9486629,1.055159,0,4,0,4,0
13149,GA,Heard,0.8567245,0.9908802,0.799857,0,4,0,4,0
13151,GA,Henry,0.8567245,0.9908802,0.799857,0,4,0,4,0
13153,GA,Houston,1.082025,0.9486629,1.055159,0,4,0,4,0
13155,GA,Irwin,1.082025,0.9486629,1.055159,0,4,0,4,0
13157,GA,Jackson,0.8567245,0.9908802,0.799857,0,4,0,4,0
13159,GA,Jasper,0.8567245,0.9908802,0.799857,0,4,0,4,0
13161,GA,Jeff Davis,1.082025,0.9486629,1.055159,0,4,0,4,0
13163,GA,Jefferson,1.082025,0.9486629,1.055159,0,4,0,4,0
13165,GA,Jenkins,1.082025,0.9486629,1.055159,0,4,0,4,0
13167,GA,Johnson,1.082025,0.9486629,1.055159,0,4,0,4,0
13169,GA,Jones,0.8567245,0.9908802,0.799857,0,4,0,4,0
13171,GA,Lamar,0.8567245,0.9908802,0.799857,0,4,0,4,0
13173,GA,Lanier,1.082025,0.9486629,1.055159,0,4,0,4,0
13175,GA,Laurens,1.082025,0.9486629,1.055159,0,4,0,4,0
13177,GA,Lee,1.082025,0.9486629,1.055159,0,4,0,4,0
13179,GA,Liberty,1.082025,0.9486629,1.055159,0,4,0,4,0
13181,GA,Lincoln,1.082025,0.9486629,1.055159,0,4,0,4,0
13183,GA,Long,1.082025,0.9486629,1.055159,0,4,0,4,0
13185,GA,Lowndes,1.082025,0.9486629,1.055159,0,4,0,4,0
13187,GA,Lumpkin,0.8567245,0.9908802,0.799857,0,4,0,4,0
13189,GA,McDuffie,1.082025,0.9486629,1.055159,0,4,0,4,0
13191,GA,McIntosh,1.082025,0.9486629,1.055159,0,4,0,4,0
13193,GA,Macon,1.082025,0.9486629,1.055159,0,4,0,4,0
13195,GA,Madison,1.082025,0.9486629,1.055159,0,4,0,4,0
13197,GA,Marion,1.082025,0.9486629,1.055159,0,4,0,4,0
13199,GA,Meriwether,0.8567245,0.9908802,0.799857,0,4,0,4,0
13201,GA,Miller,1.082025,0.9486629,1.055159,0,4,0,4,0
