FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
13001,GA,Appling,14,13,-7.142857143,0.771604938,0.701186624,-9.126213592,14,9,-35.71428571,0.771604938,0.485436893,-37.08737864,749.6665528,666.146008,711.7697982,649.8371362
13003,GA,Atkinson,4,4,0,0.476985452,0.486440472,1.982244923,5,1,-80,0.596231815,0.121610118,-79.60355102,749.6665528,666.146008,711.7697982,649.8371362
13005,GA,Bacon,9,7,-22.22222222,0.80833483,0.620512366,-23.23572575,3,4,33.33333333,0.269444943,0.354578495,31.59589871,749.6665528,666.146008,711.7697982,649.8371362
13007,GA,Baker,0,0,0,0,0,0,0,0,0,0,0,0,749.6665528,666.146008,711.7697982,649.8371362
13009,GA,Baldwin,30,40,33.33333333,0.637118525,0.871288854,36.75459423,29,30,3.448275862,0.615881241,0.653466641,6.102702423,749.6665528,666.146008,711.7697982,649.8371362
13011,GA,Banks,15,14,-6.666666667,0.823813708,0.765236403,-7.110503781,13,17,30.76923077,0.71397188,0.929215633,30.14737108,749.6665528,666.146008,711.7697982,649.8371362
13013,GA,Barrow,33,40,21.21212121,0.481414483,0.546149645,13.44686626,27,29,7.407407407,0.393884577,0.395958493,0.526528713,749.6665528,666.146008,711.7697982,649.8371362
13015,GA,Bartow,59,58,-1.694915254,0.591140902,0.570103012,-3.55886222,67,65,-2.985074627,0.671295601,0.638908548,-4.824559087,749.6665528,666.146008,711.7697982,649.8371362
13017,GA,Ben Hill,17,14,-17.64705882,0.966952961,0.801649107,-17.09533562,8,11,37.5,0.455036687,0.629867155,38.42118072,749.6665528,666.146008,711.7697982,649.8371362
13019,GA,Berrien,9,9,0,0.47201972,0.481283422,1.962566845,10,8,-20,0.524466355,0.427807487,-18.42994652,749.6665528,666.146008,711.7697982,649.8371362
