FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
13001,GA,Appling,70.48694889,18.42509322,9.34415442,0.685457337,0.219346348,0.060320246,13.46786576,25.74029392,39588,22.5,0,34.2,1,0,0
13003,GA,Atkinson,57.02686567,17.05074627,24.34626866,0.202985075,0.370149254,0.167164179,10.62686567,29.01492537,32398,26.9,1,40.5,1,0,0
13005,GA,Bacon,75.98233598,15.28478731,7.128695025,0.306416727,0.072098053,0.090122567,13.33813987,25.46863735,35431,23.9,1,36.8,1,0,0
13007,GA,Baker,47.58041147,46.36337294,4.201680672,0.695450594,0.260793973,0.057954216,15.35786728,23.21066358,34455,28.7,1,41.9,1,1,0
13009,GA,Baldwin,54.03324584,41.26421697,2.010061242,1.268591426,0.185914261,0.039370079,12.04724409,20.45275591,38015,26,0,35.5,1,0,0
13011,GA,Banks,89.83963033,2.261484099,5.659146507,0.896982876,0.195705355,0,12.50339766,25.2405545,44146,15.8,0,24.4,0,0,0
13013,GA,Barrow,74.58301498,11.19985007,8.70298557,3.400752519,0.187408999,0.040365015,9.330084911,28.23965286,53789,15.6,0,21.3,0,1,0
13015,GA,Bartow,79.67790569,10.00828699,7.677945625,0.703894885,0.287548549,0.053915353,10.59436684,26.75798996,50900,13.6,0,21.5,0,1,0
13017,GA,Ben Hill,57.6386526,34.51854372,5.818305546,0.680503573,0.266530566,0.011341726,13.99569014,26.47158898,30776,32.5,1,46.9,1,0,0
13019,GA,Berrien,83.22098932,10.57762107,4.588820906,0.425178886,0.228144768,0.015555325,13.81312869,25.60925023,35518,25.5,0,36.9,1,0,0
13021,GA,Bibb,42.10560152,51.90971218,2.821655191,1.602088115,0.184510148,0.047574045,12.65791047,25.79220429,38870,26.7,0,41.6,1,1,0
13023,GA,Bleckley,68.89688433,27.0458547,2.30421802,0.834417821,0.053586466,0.022965628,15.08841767,22.57521243,42716,19.3,0,31.7,1,0,0
13025,GA,Brantley,93.41154744,2.884145348,1.863016675,0.200966813,0.304165988,0.010863071,12.27527022,26.57650318,37709,21.6,0,34.3,0,1,0
13027,GA,Brooks,58.02499538,35.06125716,5.251492951,0.313981407,0.295511913,0.030782491,15.76063535,23.70251801,36820,25.4,1,38.9,1,1,0
13029,GA,Bryan,77.55102041,13.92518109,4.419012338,1.564515596,0.267919161,0.072768167,8.980253366,29.2958026,69650,13.1,0,16.2,0,1,0
13031,GA,Bulloch,65.86866428,27.41786177,3.473517809,1.442670578,0.202230229,0.08260108,9.116026034,20.49788513,36544,29.9,1,31.3,1,0,0
13033,GA,Burke,46.50883513,49.18939784,2.646251501,0.291645222,0.201578315,0.085778007,11.8673872,28.24240865,36977,25.1,1,37.9,1,1,0
13035,GA,Butts,68.48446417,27.1866413,2.523779328,0.422743606,0.219826675,0.012682308,12.61889664,22.51109702,44166,19,0,26.9,0,1,0
13037,GA,Calhoun,33.61219002,61.12936958,3.913952794,0.448162534,0.13444876,0,11.90618464,19.71915148,30972,37.5,1,42.4,1,0,0
13039,GA,Camden,71.22324946,19.04658207,5.127392948,1.397660008,0.455328331,0.138578188,9.019460337,27.026706,52706,13.6,0,20.4,0,0,0
13043,GA,Candler,63.18421531,24.26804874,11.15657392,0.51827605,0.072740498,0.009092562,14.40261866,25.63193308,32806,28.1,0,43.3,1,0,0
13045,GA,Carroll,72.86092991,17.97026971,6.152342866,0.75637627,0.267807866,0.01719037,10.95478933,25.44536629,45453,20.4,0,26.4,0,1,0
13047,GA,Catoosa,92.50414438,2.120671859,2.297394514,1.191704983,0.298708204,0.046917519,13.53726815,24.92884176,50979,13.1,0,19.6,0,1,0
13049,GA,Charlton,66.68309917,28.28855476,2.547038041,0.624435133,0.312217566,0.024648755,12.67767644,21.70733711,37037,32.5,0,37.7,0,0,0
13051,GA,Chatham,50.35001961,39.70685857,5.420023536,2.349431218,0.221402492,0.084487493,12.39552216,22.63321867,48885,17.8,0,25.3,1,1,0
13053,GA,Chattahoochee,62.91825686,18.16810154,12.40791693,2.0502352,0.594656963,0.550279578,3.727700364,27.09683145,41066,21,0,24.5,0,1,1
13055,GA,Chattooga,82.98673842,11.09359985,4.009225447,0.415145109,0.184508937,0.007687872,14.61080146,22.5177782,38063,20.4,0,28.8,0,0,0
13057,GA,Cherokee,81.29053026,5.427206479,9.594767339,1.625409385,0.250062982,0.039188975,9.189814599,27.48826663,74885,9.4,0,12.3,0,1,0
13059,GA,Clarke,57.12596604,26.29932999,10.4460476,4.122041914,0.120808129,0.041126172,8.526826259,17.49832925,33302,38.1,1,41.6,0,1,0
13061,GA,Clay,37.32327992,60.3204524,0.81683946,0.314169023,0.345585925,0.031416902,19.57273013,22.52591894,25941,34.3,1,52,1,0,1
13063,GA,Clayton,14.11203281,65.15202911,13.66373196,4.949040952,0.216633773,0.039703343,6.643949673,28.9021062,41731,23.3,0,35.4,0,1,0
13065,GA,Clinch,66.7255075,27.59635187,3.471609297,0.191232716,0.558987938,0.058840836,12.76846131,27.11091497,31848,28.2,1,39.6,1,0,0
13067,GA,Cobb,56.30727912,24.42353919,12.25587797,4.422754397,0.193582704,0.03880374,8.715872328,25.64927232,70097,11.4,0,16.4,0,1,0
13069,GA,Coffee,61.16488809,26.5062801,10.27481349,0.713004061,0.205401832,0.021248465,11.07517235,26.20880159,34775,22.6,0,34,1,0,0
13071,GA,Colquitt,58.81357422,22.29328762,17.06228845,0.635192756,0.219789881,0.026374786,12.88628072,27.65835861,34151,24.1,0,35.5,1,0,0
13073,GA,Columbia,73.77250046,14.5776402,4.97771114,3.809661999,0.282137473,0.149129807,10.23755975,27.25447994,75232,9.3,0,11.3,0,1,0
13075,GA,Cook,64.90239368,27.21357193,5.949337671,0.656518708,0.220776203,0.0116198,13.47896816,27.20195213,34505,24.1,0,35.7,1,0,0
13077,GA,Coweta,72.73498433,17.0786305,6.67075096,1.488410817,0.223065262,0.042413817,10.39923969,27.35848316,67268,10.9,0,16.4,0,1,0
13079,GA,Crawford,73.49168646,22.21694378,2.383214568,0.253365004,0.411718131,0.015835313,13.15914489,22.70783848,43559,20.6,0,28.9,0,1,0
13081,GA,Crisp,52.11826443,42.80472716,3.191262426,0.780750032,0.102393447,0.025598362,13.96390631,26.11886173,31095,32.3,1,47.4,1,0,0
