FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13001,GA,Appling,2,1,-50,0.110229277,0.0539374,-51.06796117,1,1,0,0.0551146,0.0539374,-2.13592233,12,11,-8.333333333,0.661375661,0.593311758,-10.29126214,0,0,0,0,0,0,24.58333333,24.66666667,0.338983051,1.338378339,1.338542797,0.01228786,5,4,-20,0.2771004,0.21777,-21.41115
13003,GA,Atkinson,4,3,-25,0.476985452,0.364830354,-23.51331631,0,1,,0,0.121610118,,6,8,33.33333333,0.715478178,0.972880944,35.97632656,2,1,-50,0.238492726,0.121610118,-49.00887754,13.83333333,10.83333333,-21.68674699,1.669885723,1.30948064,-21.58261961,3,3,0,0.3659429,0.3621439,-1.038154
13005,GA,Bacon,3,2,-33.33333333,0.269444943,0.177289247,-34.20205065,0,0,0,0,0,0,10,14,40,0.898149811,1.241024732,38.17569364,0,0,0,0,0,0,17.5,16.33333333,-6.666666667,1.562779068,1.436276234,-8.094735608,5,4,-20,0.4747437,0.3572066,-24.758
13007,GA,Baker,1,1,0,0.280898876,0.307219662,9.370199693,0,0,0,0,0,0,1,1,0,0.280898876,0.307219662,9.370199693,0,0,0,0,0,0,3,2.666666667,-11.11111111,0.891265597,0.846560847,-5.015873016,1,1,0,0.2651113,0.2970885,12.0618
13009,GA,Baldwin,10,7,-30,0.212372842,0.152475549,-28.20383803,1,1,0,0.0212373,0.0217822,2.565945675,35,37,5.714285714,0.743304946,0.80594219,8.426856857,0,0,0,0,0,0,56.75,64.08333333,12.92217327,1.223930813,1.419531573,15.98135762,10,8,-20,0.2129925,0.1725365,-18.99411
13011,GA,Banks,1,0,-100,0.0549209,0,-100,1,1,0,0.0549209,0.0546597,-0.475539765,9,12,33.33333333,0.494288225,0.655916917,32.69928031,0,0,0,0,0,0,16.75,17,1.492537313,0.914500983,0.924063706,1.045676656,1,0,-100,0.060006,0,-100
13013,GA,Barrow,12,13,8.333333333,0.175059812,0.177498635,1.393136719,1,1,0,0.0145883,0.0136537,-6.406335336,42,51,21.42857143,0.612709342,0.696340797,13.64944995,2,3,50,0.0291766,0.0409612,40.390497,58,60.33333333,4.022988506,0.826575838,0.782269706,-5.360201742,11,13,18.18182,0.1565725,0.185267,18.32666
13015,GA,Bartow,13,14,7.692307692,0.130251385,0.137611072,5.650371096,1,1,0,0.0100193,0.0098294,-1.896083982,69,80,15.94202899,0.691334275,0.786348982,13.74367075,2,1,-50,0.0200387,0.0098294,-50.94804199,110.9166667,108.5,-2.178812923,1.101883219,1.045208897,-5.143405431,10,11,10,0.1052643,0.1092777,3.812694
13017,GA,Ben Hill,2,3,50,0.113759172,0.171781951,51.00492442,1,1,0,0.0568796,0.0572607,0.669949611,23,16,-30.43478261,1.308230476,0.916170408,-29.96873071,2,3,50,0.113759172,0.171781951,51.00492442,29.25,27.33333333,-6.552706553,1.667807048,1.585184326,-4.953973643,8,5,-37.5,0.4528729,0.2850952,-37.04741
13019,GA,Berrien,4,6,50,0.209786542,0.320855615,52.94385027,0,0,0,0,0,0,19,11,-42.10526316,0.996486075,0.588235294,-40.96904025,0,0,0,0,0,0,29.75,25,-15.96638655,1.56241794,1.316274417,-15.75401287,5,5,0,0.2937375,0.2625912,-10.60344
13021,GA,Bibb,36,35,-2.777777778,0.232027534,0.227413015,-1.988780958,4,4,0,0.0257808,0.0259901,0.811539586,142,173,21.83098592,0.915219717,1.124070043,22.81969259,7,10,42.85714286,0.0451165,0.064975147,44.01648512,213.6666667,225.8333333,5.694227769,1.365613802,1.478353845,8.255631482,37,31,-16.21622,0.2385881,0.1981312,-16.9568
13023,GA,Bleckley,3,3,0,0.230167255,0.234466589,1.867917155,0,0,0,0,0,0,8,10,25,0.613779346,0.781555295,27.33489644,0,1,,0,0.07815553,,16.16666667,15.08333333,-6.701030928,1.251968301,1.162940118,-7.111057238,5,4,-20,0.3913282,0.3097653,-20.84256
13025,GA,Brantley,3,4,33.33333333,0.165480721,0.217190639,31.2483032,0,0,0,0,0,0,12,13,8.333333333,0.661922886,0.705869577,6.639246348,0,0,0,0,0,0,18.25,23.41666667,28.31050228,0.981869048,1.275765005,29.9322967,8,2,-75,0.5162622,0.1076021,-79.15747
13027,GA,Brooks,3,3,0,0.183206107,0.194577766,6.207030743,0,0,0,0,0,0,12,12,0,0.732824427,0.778311065,6.207030743,3,1,-66.66666667,0.183206107,0.064859255,-64.59765642,24.83333333,22.41666667,-9.731543624,1.61224004,1.428996409,-11.36577844,4,4,0,0.2427037,0.2596897,6.998638
